Location,Indicator,Year,Gender,Life Expectancy at Birth,Healthcare Expenditure
Singapore,Life expectancy at birth (years),2017,Male,81.08,4.36493397
Singapore,Life expectancy at birth (years),2017,Female,85.34,4.36493397
Singapore,Life expectancy at birth (years),2016,Both sexes,83.24,4.38810682
Singapore,Life expectancy at birth (years),2016,Male,81.04,4.38810682
Singapore,Life expectancy at birth (years),2016,Female,85.4,4.38810682
Singapore,Life expectancy at birth (years),2015,Both sexes,82.85,4.18069839
Singapore,Life expectancy at birth (years),2015,Male,80.75,4.18069839
Singapore,Life expectancy at birth (years),2015,Female,84.92,4.18069839
Singapore,Life expectancy at birth (years),2014,Both sexes,82.6,3.87155652
Singapore,Life expectancy at birth (years),2014,Male,80.46,3.87155652
Singapore,Life expectancy at birth (years),2014,Female,84.71,3.87155652
Singapore,Life expectancy at birth (years),2013,Both sexes,82.37,3.68562651
Singapore,Life expectancy at birth (years),2013,Male,80.18,3.68562651
Singapore,Life expectancy at birth (years),2013,Female,84.5,3.68562651
Singapore,Life expectancy at birth (years),2012,Both sexes,82.22,3.32783675
Singapore,Life expectancy at birth (years),2012,Male,80.04,3.32783675
Singapore,Life expectancy at birth (years),2012,Female,84.31,3.32783675
Singapore,Life expectancy at birth (years),2011,Both sexes,81.96,3.15792179
Singapore,Life expectancy at birth (years),2011,Male,79.76,3.15792179
Singapore,Life expectancy at birth (years),2011,Female,84.09,3.15792179
Singapore,Life expectancy at birth (years),2010,Both sexes,81.76,3.20265388
Singapore,Life expectancy at birth (years),2010,Male,79.41,3.20265388
Singapore,Life expectancy at birth (years),2010,Female,84.04,3.20265388
Singapore,Life expectancy at birth (years),2009,Both sexes,81.58,3.39853096
Singapore,Life expectancy at birth (years),2009,Male,79.26,3.39853096
Singapore,Life expectancy at birth (years),2009,Female,83.82,3.39853096
Singapore,Life expectancy at birth (years),2008,Both sexes,80.98,3.19488454
Singapore,Life expectancy at birth (years),2008,Male,78.67,3.19488454
Singapore,Life expectancy at birth (years),2008,Female,83.2,3.19488454
Singapore,Life expectancy at birth (years),2007,Both sexes,80.58,2.83749056
Singapore,Life expectancy at birth (years),2007,Male,78.11,2.83749056
Singapore,Life expectancy at birth (years),2007,Female,82.97,2.83749056
Singapore,Life expectancy at birth (years),2006,Both sexes,80.98,2.9347465
Singapore,Life expectancy at birth (years),2006,Male,78.76,2.9347465
Singapore,Life expectancy at birth (years),2006,Female,83.08,2.9347465
Singapore,Life expectancy at birth (years),2005,Both sexes,80.54,3.03367925
Singapore,Life expectancy at birth (years),2005,Male,78.23,3.03367925
Singapore,Life expectancy at birth (years),2005,Female,82.76,3.03367925
Singapore,Life expectancy at birth (years),2004,Both sexes,80.34,3.15019798
Singapore,Life expectancy at birth (years),2004,Male,77.98,3.15019798
Singapore,Life expectancy at birth (years),2004,Female,82.59,3.15019798
Singapore,Life expectancy at birth (years),2003,Both sexes,79.61,3.60699272
Singapore,Life expectancy at birth (years),2003,Male,77.24,3.60699272
Singapore,Life expectancy at birth (years),2003,Female,81.95,3.60699272
Singapore,Life expectancy at birth (years),2002,Both sexes,79.34,3.358464
Singapore,Life expectancy at birth (years),2002,Male,77.14,3.358464
Singapore,Life expectancy at birth (years),2002,Female,81.49,3.358464
Singapore,Life expectancy at birth (years),2001,Both sexes,79.14,3.16302657
Singapore,Life expectancy at birth (years),2001,Male,76.85,3.16302657
Singapore,Life expectancy at birth (years),2001,Female,81.42,3.16302657
Singapore,Life expectancy at birth (years),2000,Both sexes,78.52,3.343364
Singapore,Life expectancy at birth (years),2000,Male,76.26,3.343364
Singapore,Life expectancy at birth (years),2000,Female,80.77,3.343364
